pno1,pno2,rank1,rank2
8575662,6164500,12,11
8029028,5014931,1,9
4949732,4027779,7,5
6409944,8347932,12,9
5288387,7071987,12,11
8683380,8305615,1,11
5028490,8113298,12,4
8074252,8140923,9,13
8160808,6243835,5,9
7527291,4571105,9,9
6551253,8567267,6,4
6935202,7641022,9,2
6935202,7641022,12,4
6935202,7641022,7,5
6894321,7518403,6,9
4290282,8591142,4,10
5280667,6177050,12,5
5080865,7042691,7,10
8606585,8609395,3,8
7405809,4755074,13,7
6399769,6293297,6,10
8063629,7631592,8,5
8063629,7631592,1,11
6450360,4025069,3,7
8620595,7776348,10,5
8075709,4086050,4,13
6392619,8733986,2,11
6363527,7106586,11,2
6363527,7106586,8,3
6363527,7106586,3,13
3981298,8347893,4,8
7684408,8350150,13,13
8510456,8139606,2,1
5147695,8520443,12,4
5147695,8520443,11,6
8700418,7010811,13,10
6568178,7069599,10,9
8044486,4970575,12,7
5645567,6450922,8,13
6483002,4808258,12,3
6646789,7058960,1,6
7723865,5317216,10,13
5035394,7767067,1,3
5101707,7689473,6,11
5311637,7082369,10,8
6160302,7812772,1,5
7484268,4305607,7,11
4164293,5634483,3,2
4391116,6651349,4,6
4058275,8148823,6,4
7762254,4327300,8,2
7762254,4327300,11,7
6157540,4546689,13,2
7917631,6178444,2,7
7917631,6178444,13,11
8638084,5430354,10,10
4145917,6536561,7,10
7196618,4628236,10,5
7196618,4628236,13,10
8658289,6531380,3,10
6655569,6897121,9,6
7079805,7766314,2,1
6596911,4142903,2,2
6596911,4142903,7,11
8276792,4827753,6,2
4643045,7011742,8,5
8640000,7054920,6,5
8190134,7810147,6,6
5056685,5627181,8,12
7112899,5347197,12,13
6412858,6164334,11,12
8396215,6169982,7,6
8396215,6169982,4,9
6095487,6457731,1,11
4265027,7247819,13,13
6917413,7378777,10,10
6234513,7543672,9,2
7211312,8057847,5,13
5640748,5548973,4,8
7199498,6393037,3,3
4116128,8245230,9,1
7387061,7906639,10,10
6628933,8126893,7,11
4360686,4383889,4,10
4153839,6075479,7,12
4419578,8712668,7,10
8628383,8338649,3,11
7326416,8163158,5,2
4875987,7007955,12,12
8204906,8034401,7,10
6082857,8360189,12,13
8516775,8099576,3,8
6439917,4309918,5,6
8078079,5206076,4,1
8084292,7383877,9,2
8084292,7383877,11,13
4670397,7934712,8,4
6062602,4915441,4,7
7352335,4817197,6,1
7324041,4323186,11,13
8175539,7701085,10,9
8326635,8631128,9,5
6479208,6335784,6,12
5242658,4853032,11,6
6256854,7286205,4,4
6118003,4523351,12,8
6529062,4015610,6,6
7617722,5029675,5,1
7920865,5496676,9,3
7215590,7748992,5,4
7057735,5488542,3,5
7490497,7266248,8,9
3949707,5654467,13,10
7959083,4849959,4,7
5192564,7520379,8,5
6092917,4624348,11,11
6522842,6201378,12,1
