pno1,pno2,rank1,rank2
8307258,8019938,1,2
8307258,8019938,9,6
8307258,8019938,7,8
4694313,4203126,7,11
7120954,4252113,5,4
7120954,4252113,12,5
7120954,4252113,8,9
7120954,4252113,6,11
4678905,4210029,4,2
6433888,4951086,1,3
6305104,5033211,3,1
6305104,5033211,2,9
7729117,6302190,1,6
7729117,6302190,6,11
7729117,6302190,8,13
7558278,5271004,1,6
7050557,6549612,8,1
7050557,6549612,3,5
8052380,6406256,9,2
8289135,6554188,2,1
8289135,6554188,11,4
4541245,4324544,11,13
8618687,4352025,5,3
8618687,4352025,3,5
8618687,4352025,9,8
8618687,4352025,7,10
7707975,5363813,12,7
8250724,7688574,3,1
8250724,7688574,5,8
8250724,7688574,6,10
8250724,7688574,9,12
8014170,6430085,10,6
7726880,5450963,2,9
7130099,6201629,2,1
7130099,6201629,1,2
7130099,6201629,9,7
7059510,4759364,2,4
7059510,4759364,5,7
7059510,4759364,12,11
7059510,4759364,3,12
8594107,6546425,12,2
8213617,7613426,13,12
8729544,7453065,11,1
8729544,7453065,3,8
8729544,7453065,1,13
4382916,4222997,11,1
4382916,4222997,9,2
4382916,4222997,10,3
4382916,4222997,4,4
7975481,4573323,1,3
7520898,5618314,8,3
7520898,5618314,12,9
4912948,4099913,4,7
4912948,4099913,12,8
4912948,4099913,8,11
8357471,6225009,1,4
8194282,5630026,4,5
7183892,4757581,5,3
7183892,4757581,12,5
7183892,4757581,1,8
7183892,4757581,7,9
7183892,4757581,13,12
7668415,7015885,9,1
7668415,7015885,4,8
8394743,4447341,6,6
8394743,4447341,10,8
8690132,8157251,4,3
8690132,8157251,10,7
8690132,8157251,7,8
7491701,5595887,4,4
7491701,5595887,6,8
7491701,5595887,5,12
7549792,4846583,3,1
7549792,4846583,1,5
7656172,4904935,1,4
6524817,5073627,12,5
7901309,4883446,1,2
7901309,4883446,3,4
7901309,4883446,2,7
8013675,6928272,11,10
7285424,6099484,4,5
7285424,6099484,5,7
7156845,5080660,3,6
7156845,5080660,12,13
7524359,6547859,5,1
7524359,6547859,3,6
6223702,5386805,6,1
6223702,5386805,3,2
6223702,5386805,10,4
6223702,5386805,7,7
6223702,5386805,5,9
6223702,5386805,9,10
8592634,5254751,2,2
8592634,5254751,4,5
8592634,5254751,12,6
4752773,4616336,2,6
4752773,4616336,3,11
8382571,6287194,1,4
8382571,6287194,3,5
8382571,6287194,4,8
7101604,4494321,1,1
7101604,4494321,9,8
8295469,4922221,1,1
8295469,4922221,2,8
4666769,4183976,2,1
4666769,4183976,5,2
6522244,6171171,13,3
6522244,6171171,10,4
8216073,6149520,3,2
8216073,6149520,1,3
7699489,5207499,1,6
7172614,6361546,2,2
5650661,5360991,2,1
5650661,5360991,6,6
5650661,5360991,3,11
8685916,7893105,1,9
8685916,7893105,4,10
7198650,4719099,9,1
7198650,4719099,8,10
4867560,4769523,9,3
4867560,4769523,1,6
5385938,4287214,2,2
7342279,5315541,3,6
7342279,5315541,2,8
