pno1,pno2,rank1,rank2
5254813,8365235,9,6
6428704,8269190,10,7
4063967,5247193,4,1
4063967,5247193,8,3
4208844,4926610,7,11
8629479,6956182,2,11
8464085,4079630,7,12
6181683,7281248,5,1
4091818,5015721,10,13
4696624,4238781,10,2
6068328,6867602,12,9
7891202,7530886,6,13
4397783,5275639,3,3
6969023,7003495,10,12
6969023,7003495,12,13
7085918,7058621,9,5
6612801,7830937,7,13
7303300,8648104,13,13
8113713,6490189,10,9
5562478,7687856,6,10
4837641,6938977,7,10
4545344,6299025,10,8
8718641,8278059,4,10
7826785,4744750,2,11
4129127,4550665,5,10
4098056,4231524,2,11
7499932,7545902,9,8
6925433,7281668,9,10
6731392,7652802,9,13
7133201,7058198,8,5
8458254,6968552,7,4
8696024,8698053,10,9
8721236,5622563,6,9
7292155,5541851,8,6
8645721,8700521,3,7
6188221,6261235,4,3
6188221,6261235,10,9
6612650,6067474,7,10
6324406,4683465,8,12
6192635,7581554,3,8
6992491,7372455,10,3
4877690,7246129,1,1
6516398,8509329,8,2
7796837,8752748,8,4
3940916,8035081,6,1
5133848,8553418,3,6
7844237,7664166,12,7
7844237,7664166,6,11
8006062,4599688,1,9
4357416,5350490,12,2
5282560,6601666,3,6
5282560,6601666,8,13
8556276,7386464,13,9
6945598,7032971,6,6
6945598,7032971,3,12
7273853,5552474,2,7
8526604,6669073,7,12
5500714,6489700,6,8
8709159,7473224,10,12
8709159,7473224,3,13
6642779,5594360,3,1
4968192,6459469,1,13
4905666,4846723,11,6
8028181,7356794,2,2
8711727,7278887,8,9
5058431,7283354,7,6
4489941,6663174,2,12
4088081,4485858,5,4
8273374,6909231,8,8
4408311,4303816,13,13
6075180,7351364,9,3
7554887,4833621,11,9
7554887,4833621,7,13
4939416,6875410,9,7
8274765,5269735,9,13
8147788,4280890,11,4
5232638,7910390,4,13
8141389,7191847,5,6
7596042,7650459,3,1
8015837,4430730,11,8
5347123,4982221,11,6
6180783,8612321,3,2
5155892,7377019,13,11
5323654,6288334,2,2
7210450,4464784,5,13
5231791,8417130,9,7
7412006,4016461,8,10
7164616,6836955,7,9
4067352,4014511,1,1
4067352,4014511,3,2
4067352,4014511,5,7
7792448,7487880,10,10
8021487,6132672,5,2
4372730,5408773,11,1
8330408,7777550,2,2
3982598,4262765,3,11
8487337,8711187,5,1
8279926,8737084,2,11
7584162,6862653,6,2
4299173,5083134,2,6
5169053,7550241,8,13
8531264,7373114,6,7
8531264,7373114,7,12
4354886,8341835,6,11
7031565,5245422,3,9
6481897,7971500,5,6
7035397,4567663,11,13
8223568,8396609,10,10
6667711,4128107,1,3
8475442,8476846,6,2
8060918,6535917,11,1
6985581,5639450,10,3
6442120,4196054,6,6
4711633,5340990,12,7
6987648,4882756,6,1
6987648,4882756,12,12
6601818,7329282,2,3
7632338,8720420,2,1
7632338,8720420,11,4
8015220,4012180,3,3
8274877,6561563,5,6
5364201,6419326,5,5
5364201,6419326,8,9
5000666,4315234,6,7
6986307,7190238,11,8
6425992,8234424,4,4
8059257,4702588,11,10
4016949,8126062,9,9
7830177,7619934,3,10
8127187,7141001,8,2
6565769,7481908,11,11
7608094,5630788,5,1
7319764,4408324,10,5
6623840,8231595,12,9
5118216,7478493,2,2
5118216,7478493,6,6
4689025,5056713,11,6
4689025,5056713,5,10
4689025,5056713,12,12
7749913,8261043,13,9
7261055,4432097,7,9
7795132,8127936,13,5
8259399,7589747,12,1
8259399,7589747,8,7
7384874,4887242,9,13
8331336,6256670,1,12
6521437,7414112,2,1
5203853,4632435,11,12
8714139,6306285,5,6
4396640,6633108,6,7
8281562,8462702,11,3
7926138,7405625,10,9
6242070,4384018,4,7
5363750,7870102,12,10
6205927,6206990,9,6
7338637,7957708,5,8
7632363,8656745,2,11
5278574,8024850,3,4
6989021,4432132,10,10
7164423,6088705,5,4
6873721,7684640,3,4
6873721,7684640,12,13
4076027,7657216,7,1
