parent_pno,child_pno,parent_term_rank,child_term_rank,slope CTR-CTR
7284866,8016434,1,1,0
7284866,8016434,3,6,-3
7284866,8016434,5,9,-4
4821719,6530942,3,1,2
4821719,6530942,5,7,-2
4821719,6530942,13,4,9
4674146,5560078,1,2,-1
4674146,5560078,2,3,-1
4674146,5560078,5,10,-5
4674146,5560078,7,6,1
5507768,6461383,1,5,-4
5507768,6461383,3,3,0
5507768,6461383,4,10,-6
5507768,6461383,5,9,-4
4419221,6441262,1,5,-4
4419221,6441262,11,9,2
4419221,6441262,12,1,11
6455927,6624921,1,1,0
6455927,6624921,2,4,-2
6455927,6624921,3,6,-3
6455927,6624921,4,5,-1
6455927,6624921,5,3,2
6455927,6624921,6,2,4
6455927,6624921,9,13,-4
6455927,6624921,10,7,3
6455927,6624921,11,8,3
4440227,5190104,6,8,-2
4667290,5586323,1,8,-7
4667290,5586323,2,5,-3
4667290,5586323,8,3,5
4667290,5586323,9,12,-3
4018358,4664289,3,2,1
5000734,6478812,12,4,8
3966238,7211766,9,9,0
3966238,7211766,11,5,6
4008123,4877486,4,1,3
4721878,5059859,2,5,-3
4721878,5059859,6,6,0
4721878,5059859,7,7,0
6072982,8225369,1,1,0
4399816,8591447,2,8,-6
4399816,8591447,3,12,-9
5648657,6473189,5,1,4
5648657,6473189,8,10,-2
5379049,7715642,6,3,3
7544740,8541503,8,11,-3
7544740,8541503,11,5,6
6282175,7624422,3,7,-4
6282175,7624422,10,1,9
5066592,5342830,2,5,-3
5134075,8747857,4,9,-5
4670263,6506387,10,10,0
6596005,8702735,7,11,-4
6596005,8702735,11,4,7
3935392,5218636,1,1,0
3935392,5218636,2,2,0
3935392,5218636,9,9,0
5156649,6064218,4,13,-9
5156649,6064218,6,6,0
5156649,6064218,10,4,6
4142178,7102478,1,3,-2
4142178,7102478,9,7,2
4142178,7102478,13,2,11
5191154,5298233,1,10,-9
5191154,5298233,2,1,1
5191154,5298233,6,6,0
6870740,6927972,3,1,2
6870740,6927972,8,6,2
6077318,8629094,1,3,-2
6077318,8629094,4,9,-5
7190741,7724849,3,6,-3
7190741,7724849,8,4,4
7190741,7724849,9,3,6
7190741,7724849,12,8,4
7495678,7667699,2,1,1
