pno1,pno2,rank1,rank2
8016434,7284866,1,1
8016434,7284866,6,3
8016434,7284866,9,5
6530942,4821719,1,3
6530942,4821719,7,5
6530942,4821719,4,13
5560078,4674146,2,1
5560078,4674146,3,2
5560078,4674146,10,5
5560078,4674146,6,7
6461383,5507768,5,1
6461383,5507768,3,3
6461383,5507768,10,4
6461383,5507768,9,5
6441262,4419221,5,1
6441262,4419221,9,11
6441262,4419221,1,12
6624921,6455927,1,1
6624921,6455927,4,2
6624921,6455927,6,3
6624921,6455927,5,4
6624921,6455927,3,5
6624921,6455927,2,6
6624921,6455927,13,9
6624921,6455927,7,10
6624921,6455927,8,11
5190104,4440227,8,6
5586323,4667290,8,1
5586323,4667290,5,2
5586323,4667290,3,8
5586323,4667290,12,9
4664289,4018358,2,3
6478812,5000734,4,12
7211766,3966238,9,9
7211766,3966238,5,11
4877486,4008123,1,4
5059859,4721878,5,2
5059859,4721878,6,6
5059859,4721878,7,7
8225369,6072982,1,1
8591447,4399816,8,2
8591447,4399816,12,3
6473189,5648657,1,5
6473189,5648657,10,8
7715642,5379049,3,6
8541503,7544740,11,8
8541503,7544740,5,11
7624422,6282175,7,3
7624422,6282175,1,10
5342830,5066592,5,2
8747857,5134075,9,4
6506387,4670263,10,10
8702735,6596005,11,7
8702735,6596005,4,11
5218636,3935392,1,1
5218636,3935392,2,2
5218636,3935392,9,9
6064218,5156649,13,4
6064218,5156649,6,6
6064218,5156649,4,10
7102478,4142178,3,1
7102478,4142178,7,9
7102478,4142178,2,13
5298233,5191154,10,1
5298233,5191154,1,2
5298233,5191154,6,6
6927972,6870740,1,3
6927972,6870740,6,8
8629094,6077318,3,1
8629094,6077318,9,4
7724849,7190741,6,3
7724849,7190741,4,8
7724849,7190741,3,9
7724849,7190741,8,12
7667699,7495678,1,2
7667699,7495678,10,6
7667699,7495678,11,7
6509075,5366251,1,1
6509075,5366251,9,5
6509075,5366251,4,8
4664764,4437957,4,3
4664764,4437957,9,6
5482281,4722528,4,2
5482281,4722528,2,3
5482281,4722528,1,5
5482281,4722528,6,6
5482281,4722528,11,7
6503148,5040798,9,1
6503148,5040798,4,7
7648329,4530056,2,2
6260523,6123053,2,1
6260523,6123053,4,6
6260523,6123053,1,7
4358285,4172592,1,2
4358285,4172592,2,8
5276119,5071812,9,1
5276119,5071812,1,2
5276119,5071812,5,4
5276119,5071812,8,10
5276119,5071812,4,12
5065703,4566843,11,12
5420186,4764537,1,1
5420186,4764537,8,3
5420186,4764537,9,6
7876223,7327265,8,1
7876223,7327265,3,4
7876223,7327265,7,12
8562598,6402741,1,4
8562598,6402741,13,5
4809549,4055084,4,2
4809549,4055084,2,3
4809549,4055084,11,4
4809549,4055084,1,6
4809549,4055084,6,12
7797447,6670968,1,1
7797447,6670968,4,2
7797447,6670968,2,3
7797447,6670968,9,4
7797447,6670968,3,5
7797447,6670968,6,11
7797447,6670968,8,12
7797447,6670968,11,13
8656415,6873604,9,7
8720577,4246967,5,6
5233621,4892375,4,11
4423830,4254896,1,1
4423830,4254896,2,2
4423830,4254896,13,3
4423830,4254896,4,4
4423830,4254896,6,11
6086244,4465379,1,5
6086244,4465379,10,8
8605465,7911264,11,12
8605465,7911264,1,13
5090429,4920997,2,2
5090429,4920997,3,4
7209844,4561314,8,9
7836278,6275927,2,4
4684060,4356962,3,4
4684060,4356962,12,7
4684060,4356962,6,13
4749992,4361766,6,3
6185104,5238423,6,3
6185104,5238423,3,9
8139488,7362762,2,1
8139488,7362762,1,5
7687004,5375730,4,6
8102899,6912250,5,9
8102899,6912250,8,13
8109886,4210146,7,8
8109886,4210146,3,11
5575412,4456284,3,1
5575412,4456284,1,2
5575412,4456284,6,5
5575412,4456284,10,7
5575412,4456284,7,11
8028322,7263188,13,13
7077945,4620905,2,2
7077945,4620905,1,6
8698365,6182531,2,1
8698365,6182531,11,12
4207627,4094017,1,6
4207627,4094017,3,8
6935441,5111892,1,1
6935441,5111892,4,2
8001320,6288944,1,9
8001320,6288944,3,13
8614522,4277690,1,3
6555635,5017714,2,5
6555635,5017714,11,10
7775966,5402944,12,7
8609975,7052666,9,1
7639888,6567536,4,4
4725947,4430711,1,8
4725947,4430711,4,11
6445767,4051380,9,9
6393803,4818571,1,2
6934674,5452239,1,5
6934674,5452239,2,6
6934674,5452239,4,12
6511412,4051840,4,4
8644066,7457155,2,3
8644066,7457155,7,4
8644066,7457155,8,5
8644066,7457155,3,7
8644066,7457155,10,9
8634414,6408164,3,1
8634414,6408164,2,3
8634414,6408164,12,8
8634414,6408164,11,13
7345576,6097301,2,2
7345576,6097301,1,4
7345576,6097301,9,5
5431691,4333475,4,10
5431691,4333475,11,13
8235603,7366367,6,2
8235603,7366367,7,5
8235603,7366367,8,8
7717312,5403312,5,5
7717312,5403312,1,7
8185375,6131082,1,1
8185375,6131082,5,2
8185375,6131082,7,6
8185375,6131082,4,11
8185375,6131082,6,13
5181829,4696623,1,1
5181829,4696623,5,5
5181829,4696623,11,9
8104431,4986221,1,1
8104431,4986221,4,2
8104431,4986221,11,12
5074617,4339061,5,3
5074617,4339061,9,10
5074617,4339061,6,12
8749563,6897871,3,2
8749563,6897871,4,6
8749563,6897871,9,7
8749563,6897871,6,8
8749563,6897871,5,11
8749563,6897871,7,12
4816628,3955058,13,4
4816628,3955058,4,6
4634485,4227350,12,3
4634485,4227350,7,9
6569732,6420226,7,4
6569732,6420226,3,8
6569732,6420226,8,12
4043137,3950956,2,2
4043137,3950956,3,3
4043137,3950956,4,6
4043137,3950956,10,7
4043137,3950956,8,13
5306592,5096797,6,1
5306592,5096797,1,4
5306592,5096797,3,5
5306592,5096797,2,6
8612852,6327628,9,1
8612852,6327628,3,2
8612852,6327628,12,4
