pno1,pno2,rank1,rank2
4206871,6527700,4,10
6147574,6084811,8,3
5125425,5576729,8,4
7365799,7208397,3,5
7807004,4491854,7,1
5121696,7499923,8,8
7018520,7053366,2,3
6932886,6265837,12,5
6537290,5375450,9,13
6871996,4621386,8,6
6871996,4621386,3,13
4039863,4001216,4,11
6502119,7881977,9,10
5364248,4042007,8,2
6503307,8450451,9,9
5488323,7034437,2,8
5488323,7034437,3,12
7064919,8183840,11,3
4725309,8567962,7,12
8211746,4405703,4,6
5482495,7452098,6,2
3936211,8747021,13,12
4313262,6559661,13,6
5563240,8268230,10,8
7098448,4701897,7,9
7098448,4701897,6,11
8310073,6869482,7,10
7787488,6646551,12,11
4992860,7965239,7,2
8752025,8418178,11,12
3934183,6162177,3,5
8592825,6134758,9,6
5354159,7688616,4,3
6270947,5477566,3,13
7975874,4845805,5,4
7975874,4845805,6,8
5447471,5005917,10,4
6195597,7097927,9,8
6346793,4780984,9,9
8747512,8011904,2,9
7980192,6483043,5,12
7980192,6483043,3,13
7304078,5350890,11,10
4131940,7148672,10,9
4206073,8131492,11,8
8531585,4421372,6,9
8690230,4911501,12,6
7076957,8025099,3,7
4103407,7608900,2,1
4103407,7608900,8,3
4103407,7608900,9,5
6381054,4689035,2,12
8432379,5067338,8,7
6122145,8527083,6,13
6364438,7268431,11,13
7226831,8237257,13,12
7226831,8237257,8,13
7780946,4168202,2,11
8693030,7372430,6,10
5041849,4668909,2,3
8437199,7139887,4,12
6906184,4303582,13,12
8508987,4155254,8,2
6842633,4993103,4,9
5078111,4792678,6,9
7369089,8095317,13,11
8573090,4528870,13,1
5596584,6584365,10,7
5596584,6584365,5,9
7651250,7516253,12,9
7320733,4905752,2,11
5122310,4268483,8,4
4572628,7784345,8,13
7365228,4195632,9,2
6631448,5202973,6,2
6631448,5202973,13,7
6631448,5202973,5,9
5098042,7627518,13,10
8751478,4460783,12,12
5177331,7433147,11,10
4860820,7450462,9,10
5154723,4351322,12,6
7675410,8566326,13,12
8055168,7293345,2,2
7092979,5068552,5,10
7417882,5302491,8,4
7417882,5302491,2,10
7137684,7194344,6,7
6507455,4776437,4,11
4276707,6921007,5,4
8725954,6953713,13,7
4110601,5603240,5,12
7431210,5289006,1,4
7554420,7426372,11,3
7830757,7643022,13,8
7830757,7643022,12,13
7443524,5336073,4,12
8186589,7821273,3,4
7224694,8439052,4,9
8576070,4092768,13,4
8441881,6433896,2,3
7890672,8229402,1,3
7924752,7880852,5,7
4099152,4341070,3,2
4099152,4341070,2,9
4099152,4341070,4,13
7671514,6420787,10,9
7671514,6420787,11,10
8536163,7708910,9,4
4446455,8434003,8,2
4446455,8434003,12,3
5182287,5023357,12,5
7030345,4327402,11,12
6083656,7809803,9,7
6170123,6151656,13,7
5301050,4002252,8,7
5301050,4002252,5,9
6454221,6256074,8,10
4227733,4349800,4,12
7754009,7121726,12,8
4985938,8022584,11,8
7896543,7649920,9,8
7896543,7649920,13,12
7473459,6068419,10,10
7128212,4269578,10,7
7539823,4607528,10,3
7926581,5053740,2,9
8245460,4441837,11,4
4079850,5505295,9,5
6479085,8299152,7,7
7137437,4926229,11,9
8059024,8421939,8,10
7547833,7196956,9,7
7547833,7196956,5,9
7624552,7537157,11,10
7598357,6566337,7,9
5449648,7918675,4,7
7088381,7408535,12,12
7365895,7902988,6,1
7365895,7902988,10,6
6867105,5005073,11,11
6359926,5214000,9,10
7237296,7910941,9,2
6225164,4421635,4,8
7012166,8237001,3,5
5028052,6252176,7,1
7330802,8369489,3,4
7330802,8369489,12,5
7330802,8369489,5,6
5357649,8358281,9,13
4391782,4878186,10,9
4046839,8461282,5,5
6370014,3980917,5,3
6264882,7185835,3,5
8575734,5158243,10,12
8414034,7521994,8,7
8414034,7521994,10,12
7391608,7244004,11,2
4082103,4454750,9,8
6574300,7976895,8,6
7719024,4412712,8,12
8191569,6130021,11,9
4417554,8723493,13,6
5581319,4553365,2,6
4829303,6393204,8,7
6972629,7054960,7,4
6972629,7054960,11,9
8054104,8285418,7,4
8054104,8285418,6,8
7848978,6877014,1,5
4266990,4239928,11,12
4205377,7100209,6,4
4205377,7100209,2,6
4205377,7100209,13,10
8653028,7065113,11,9
4948579,4324183,11,10
6122706,4708413,12,6
5012814,8666402,10,4
6504239,8222701,11,6
7342801,6162390,11,6
4707229,5476776,6,4
8117027,5400363,10,6
4845671,8498157,5,7
4768195,7479951,5,12
5279860,6306962,9,8
3983221,7563033,13,11
7994745,6855377,10,1
7647678,8684683,6,11
4216487,8427140,4,6
8167024,6994407,9,11
5651286,4542849,13,6
7467170,6434294,7,4
7622012,5210668,5,3
7622012,5210668,4,11
6983761,4823588,13,1
6983761,4823588,3,7
7495263,5204302,2,4
7095713,7380210,2,2
7095713,7380210,9,7
7095713,7380210,10,10
6315684,5262562,8,6
8054627,6939529,13,8
5241716,5494518,13,2
5241716,5494518,2,8
5241716,5494518,8,11
5048453,7844748,12,6
4345174,4724368,6,4
4306199,6621383,1,8
6546975,7688538,3,9
6558527,7381092,7,1
7300243,8090545,13,9
7538678,7123927,8,7
7538678,7123927,2,13
6890127,7498183,9,5
7411318,7929176,10,2
7308444,8142477,7,6
4442623,6987441,5,9
5285958,5091635,8,6
6476712,3995676,1,2
4823407,5099805,5,12
7897177,7178912,4,9
4831762,8665613,9,3
6268744,8456887,8,10
4964908,8652350,2,9
7623401,6076488,9,8
4285634,4209324,9,2
4796944,4066860,10,6
5494286,8530987,5,1
4129678,8061886,1,5
7335164,4499424,7,13
6881103,7248031,7,10
6881103,7248031,11,13
4837616,6657485,13,13
4537447,4549369,12,13
7316593,4184647,6,6
8755602,7679113,4,4
8755602,7679113,6,9
3959726,4682322,6,13
8325758,7589584,6,8
7552267,8150946,2,5
5534378,5029024,9,5
7139342,6271765,6,9
7139342,6271765,12,11
5269984,8582938,7,2
8577297,7305322,2,7
8086779,7130081,5,5
8086779,7130081,7,7
4024526,8627976,12,9
8169709,4487109,13,13
7532448,7199372,3,1
7532448,7199372,8,8
8522441,6561484,7,3
8522441,6561484,6,10
6216917,4181077,3,13
7522225,6423396,12,5
5199161,5249970,10,8
7341328,5441517,3,6
5621157,4802268,9,12
5418628,7748625,5,9
8194283,7121655,1,5
5084661,5299795,2,2
5296481,8261751,13,10
6504866,6549853,1,11
4627457,8263649,10,11
8670442,7847724,1,7
8651760,3953284,12,7
8601626,7565516,11,12
4448337,4140413,7,3
4866592,4949580,13,5
6138387,6371211,10,3
5454024,5016227,1,5
7150014,5192797,7,7
5439753,4766316,1,10
8112068,7565696,6,6
8112068,7565696,9,10
7151574,5202762,5,5
5391020,8130416,2,11
7777794,8754645,13,1
6244442,5211370,10,6
8466963,4444216,5,13
6192756,4723206,4,4
7960933,6229871,9,8
6489852,6947084,8,5
6503777,7233988,8,4
5072042,4209421,8,3
7315031,7642125,2,8
7643913,5170773,1,11
7167503,7753641,9,8
8467080,5598093,4,4
5311155,4772212,2,12
5585770,6336201,12,8
8032330,8462779,9,10
7095339,4160964,11,4
4383595,7721534,8,8
6552960,6967574,2,11
7487923,6495623,1,13
4395662,7304255,3,8
4628717,4262270,13,7
7766518,6392368,3,1
7766518,6392368,2,4
7766518,6392368,5,5
5064029,6627917,11,12
6392997,8707006,4,7
7149267,8711699,6,7
4053081,4191739,9,9
8131668,7751776,8,13
6523803,6289578,8,5
6523803,6289578,7,12
6538596,8299869,12,8
7281123,7721909,13,13
7551473,6976375,11,10
8520095,8499128,11,8
4353687,4390051,2,10
5277042,6990582,11,8
7313940,4460000,4,10
5179740,8017074,11,12
7495360,4331377,3,3
3943116,4126657,9,13
4286081,5350874,13,3
7389384,4495949,8,10
8350816,5012644,3,8
4234956,7443424,10,7
8394242,6294052,13,12
4834171,4762970,13,9
8260557,7307652,6,10
5581491,7138817,1,2
5581491,7138817,8,9
8272000,6889049,10,6
8196078,7657251,11,4
7946891,5240683,13,13
6371611,7623014,8,10
7485818,8132048,10,10
7189717,5599788,5,6
7369362,6545842,10,7
5337364,4933529,3,4
7781930,6851231,1,1
7484631,7089286,8,4
5337232,8175618,10,4
3938360,4372292,11,9
8277501,5151761,11,4
8597288,4323983,3,3
7072041,7369772,5,1
4692767,8385635,1,7
4692767,8385635,2,8
8260861,7928699,8,11
4698245,7631764,3,12
7460100,6144238,10,3
7460100,6144238,9,5
7460100,6144238,3,6
7632786,7776449,4,2
5140520,7487863,1,7
8605826,7280250,11,1
5056652,6477479,2,8
5550796,8681454,9,4
7213325,4147814,4,13
8749835,7356754,8,4
6415230,6632739,9,4
5386250,8106730,12,7
8512270,8692268,12,8
7673728,6429992,2,9
7114455,6158612,3,6
8507379,8024862,9,10
7982801,6640614,12,6
4851325,7121474,5,10
8504241,4163376,7,4
4525809,6525419,11,5
4496152,4664963,10,7
6955282,4698208,12,9
8737497,4442696,2,10
4232193,6967849,4,6
6148236,8516215,2,1
3958754,4678707,9,10
5024320,6530123,4,8
4187425,4708529,1,5
7026242,7497008,8,13
4000397,8348934,9,10
5081499,8710729,1,3
4316756,4004839,9,13
8296875,4491986,11,7
4669643,7596006,6,6
6149581,4870363,9,9
6515506,6205554,8,1
8017946,8217453,5,2
8017946,8217453,7,7
4200707,6214894,7,1
6908728,8132390,12,8
4743740,5230575,6,2
4743740,5230575,13,10
5618218,5163677,10,11
7493631,5646273,4,11
7151444,8737456,6,1
7151444,8737456,12,6
5129884,6513797,6,6
8234075,7453908,5,12
8234075,7453908,7,13
8376604,6485009,9,2
4437393,6186117,12,4
4437393,6186117,2,6
5217608,7587959,2,6
6145472,4772004,1,4
7485599,4182829,6,7
8250495,5135087,4,12
6958118,4676557,5,11
4132680,7237214,10,10
6441068,7898422,6,3
7414283,7847371,5,1
7593169,7928960,5,9
7789642,8299996,12,7
8217100,4816422,4,11
7326626,6949164,4,2
6453842,7922833,7,4
6453842,7922833,9,11
7156641,5312933,5,8
5055309,7697293,9,9
4773763,5428515,4,7
4791794,6429153,6,2
6632773,5599737,4,7
8254471,6495805,4,8
4441597,4921225,5,1
6176093,5347949,13,11
5126172,8711087,13,11
7877576,7975599,4,6
8670577,5135683,13,12
8072306,5387004,13,6
7874643,5588343,10,6
6178214,8235198,7,8
6935805,6352025,10,8
6935805,6352025,11,13
7877791,5139573,5,2
5577675,4902869,11,10
8229230,7627878,3,8
5056551,5287162,10,3
7806077,6600149,9,7
4679275,6632166,1,2
4849139,8306633,4,8
8220593,4393481,5,13
8675535,8676179,1,4
8675535,8676179,5,8
4672863,6179542,9,9
4336821,4488592,1,11
7418075,5619334,11,3
4608424,8273302,4,7
8221859,4311547,11,13
4081173,8277186,1,3
4081173,8277186,6,4
8030776,8456820,11,13
8520276,5054562,11,10
7085815,7419360,6,10
6532546,6253152,6,5
6195591,6130759,7,12
5061077,6279295,13,5
4764831,7793864,7,9
6488312,7327070,2,3
6612515,5481963,9,12
8521830,8174580,2,4
6430788,5595701,11,7
4146851,8542035,12,7
7854330,6195252,9,7
4633169,6359407,10,9
4464063,8112106,5,11
8257859,4838457,9,12
7035463,8140895,9,8
4205341,4761999,8,1
6530327,5378579,4,5
7141711,8196657,6,5
6512294,6891965,9,6
5387919,7562552,7,9
5387919,7562552,6,11
8047706,8293628,5,13
7746308,7426599,5,11
7972925,7522028,12,13
8286830,5059193,8,2
6183274,8597310,11,2
8230300,8589125,10,10
4762066,6877563,12,2
8629887,8549924,9,9
5452884,3967193,10,3
5452884,3967193,12,4
6472624,7828167,8,6
6346316,7326378,8,9
4914532,8131784,7,11
4020941,4872367,9,6
7292633,4339197,5,10
7205718,7917205,5,1
4978208,6246460,9,12
7167209,6380818,4,4
8001855,8545451,12,9
8660644,4910413,13,11
7915147,8621294,6,4
6263583,8584540,11,3
7970155,8696990,10,4
5651913,6665934,6,4
5651913,6665934,4,12
7553678,6853019,7,2
6997142,5045404,2,5
6357506,7846706,12,10
6073578,8687946,5,4
8063276,5336162,5,7
6467563,5150919,2,1
6467563,5150919,5,3
5030056,8007956,4,10
6727233,7755660,12,10
7679212,8439507,7,3
7186883,7420239,11,8
6077770,7807043,3,4
7957411,4696781,13,11
6997053,4445994,12,12
8419012,3986662,11,7
5269397,7008075,6,9
4141593,5354980,1,5
8739263,7468633,5,9
6073396,5632202,7,3
6092226,8432828,6,7
6092226,8432828,10,12
5339134,5122949,8,7
6562820,7935432,12,11
5227717,6901346,1,8
5597385,5061406,10,12
7169897,5563210,13,13
5297006,5361228,9,13
7490434,6649346,7,5
6073149,6227035,5,13
6521854,7692430,5,1
6193212,8412370,3,8
8507321,4085257,11,6
7566086,8479395,5,10
7566086,8479395,2,12
6453532,4952167,2,4
5574856,5488242,4,3
5487046,6683414,13,8
4430728,7474189,10,7
7018725,7379430,12,12
7879501,7047594,4,10
5213991,5021895,4,12
8648827,8457913,5,11
8736053,8556285,9,10
8736053,8556285,5,11
6886584,5011121,1,3
8197453,6470746,6,10
4219510,7166723,7,8
6451236,6134851,6,5
6260491,7263760,6,12
8142503,7986386,6,4
6903411,8395205,5,8
6903411,8395205,9,11
7625183,5374636,11,6
6916564,4356803,1,3
7151591,7150836,10,10
6345167,7767981,2,3
8262211,4920994,6,13
4870634,6971056,7,4
4870634,6971056,3,8
4530000,7898180,9,3
8340149,6897473,2,5
8340149,6897473,13,8
5009586,4877570,1,10
8106531,4495601,11,9
5291829,6530053,10,10
6398575,8229573,5,7
5549995,8739395,9,5
7379414,7421202,8,10
4713969,4984664,1,11
6515458,7569836,4,6
7327590,8200028,6,9
6161236,6099395,10,10
5055988,7675956,5,4
5264886,5591680,1,5
7504944,7490040,12,6
4921429,6300210,11,1
7314575,5396481,3,11
7314575,5396481,5,13
7632058,8218952,5,4
7726483,7777218,4,6
4348083,4967509,2,6
7728564,5321267,11,8
4746677,5478524,1,11
8325914,6356792,5,8
6203085,4788085,11,6
7125811,8022181,13,11
5301439,5646827,13,11
4398572,7018289,11,9
4960312,4968139,5,2
8637457,4707170,7,9
7165744,5118199,6,3
8416400,7223998,7,4
4253743,5225915,6,1
8736299,8010712,11,6
8736299,8010712,4,9
6201011,8430650,11,11
7344680,6452649,2,10
5214503,4438318,13,4
4754380,8606840,3,13
7346737,6652075,6,10
8027781,6650229,13,10
6099993,7574040,3,3
6655066,7039217,9,8
